t=2021-03-21T03:44:03+0900 lvl=info msg="no configuration paths supplied"
t=2021-03-21T03:44:03+0900 lvl=info msg="using configuration at default config path" path=/Users/scottcho/.ngrok2/ngrok.yml
t=2021-03-21T03:44:03+0900 lvl=info msg="open config file" path=/Users/scottcho/.ngrok2/ngrok.yml err=nil
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp="memory storage"
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp=updater
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp="signal handler"
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp=web
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp="Tunnel session"
t=2021-03-21T03:44:03+0900 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2021-03-21T03:44:03+0900 lvl=info msg="tunnel session started" obj=tunSess
t=2021-03-21T03:44:03+0900 lvl=info msg="client session established" obj=csess id=a27cb821cb25
t=2021-03-21T03:44:04+0900 lvl=info msg="update available" obj=updater
t=2021-03-21T03:44:04+0900 lvl=info msg="wait to update manually" obj=updater
t=2021-03-21T04:40:03+0900 lvl=info msg="join connections" obj=join id=734f67b8f785 l=[::1]:3000 r=61.254.18.27:56196
t=2021-03-21T04:40:10+0900 lvl=info msg="join connections" obj=join id=77b700ada93c l=[::1]:3000 r=61.254.18.27:56194
t=2021-03-21T04:40:22+0900 lvl=info msg="join connections" obj=join id=6869bb280073 l=[::1]:3000 r=61.254.18.27:56227
t=2021-03-21T04:41:16+0900 lvl=info msg="join connections" obj=join id=070158a1a28f l=[::1]:3000 r=61.254.18.27:56237
t=2021-03-21T04:41:17+0900 lvl=info msg="join connections" obj=join id=9d56295b55fc l=[::1]:3000 r=61.254.18.27:56239
t=2021-03-21T04:41:38+0900 lvl=info msg="join connections" obj=join id=fb576d5835ee l=[::1]:3000 r=61.254.18.27:56242
t=2021-03-21T04:41:39+0900 lvl=info msg="join connections" obj=join id=b24d85d48bcc l=[::1]:3000 r=61.254.18.27:56244
t=2021-03-21T04:41:51+0900 lvl=info msg="join connections" obj=join id=1794b5b42dc7 l=[::1]:3000 r=61.254.18.27:56248
t=2021-03-21T04:42:01+0900 lvl=info msg="join connections" obj=join id=018183a860dd l=[::1]:3000 r=61.254.18.27:56251
t=2021-03-21T04:42:02+0900 lvl=info msg="join connections" obj=join id=4b68f09d45b7 l=[::1]:3000 r=61.254.18.27:56254
t=2021-03-21T04:42:18+0900 lvl=info msg="join connections" obj=join id=0dab37553f8b l=[::1]:3000 r=61.254.18.27:56254
t=2021-03-21T04:42:46+0900 lvl=info msg="join connections" obj=join id=f1bb78ac3d35 l=[::1]:3000 r=61.254.18.27:56272
t=2021-03-21T04:42:51+0900 lvl=info msg="join connections" obj=join id=1821b4b374e2 l=[::1]:3000 r=61.254.18.27:56274
t=2021-03-21T04:43:03+0900 lvl=info msg="join connections" obj=join id=a1e33697fd2a l=[::1]:3000 r=61.254.18.27:56278
t=2021-03-21T04:43:08+0900 lvl=info msg="join connections" obj=join id=c9fc72040e18 l=[::1]:3000 r=61.254.18.27:56281
t=2021-03-21T04:44:56+0900 lvl=info msg="join connections" obj=join id=a566a95106a7 l=[::1]:3000 r=61.254.18.27:56296
t=2021-03-21T04:44:57+0900 lvl=info msg="join connections" obj=join id=5ff6028b15d5 l=[::1]:3000 r=61.254.18.27:56299
t=2021-03-21T04:45:16+0900 lvl=info msg="join connections" obj=join id=5996cfc25294 l=[::1]:3000 r=61.254.18.27:56299
t=2021-03-21T04:45:18+0900 lvl=info msg="join connections" obj=join id=62850599be38 l=[::1]:3000 r=61.254.18.27:56304
t=2021-03-21T04:45:26+0900 lvl=info msg="join connections" obj=join id=9c4f3faee994 l=[::1]:3000 r=61.254.18.27:56304
t=2021-03-21T04:45:27+0900 lvl=info msg="join connections" obj=join id=e59721e6bf7a l=[::1]:3000 r=61.254.18.27:56309
t=2021-03-21T04:45:34+0900 lvl=info msg="join connections" obj=join id=ebc19fc319c3 l=[::1]:3000 r=61.254.18.27:56309
t=2021-03-21T04:45:53+0900 lvl=info msg="join connections" obj=join id=3c26814ebf65 l=[::1]:3000 r=61.254.18.27:56336
t=2021-03-21T04:45:54+0900 lvl=info msg="join connections" obj=join id=199f35f73d0f l=[::1]:3000 r=61.254.18.27:56337
t=2021-03-21T04:46:39+0900 lvl=info msg="join connections" obj=join id=bbf1fc782885 l=[::1]:3000 r=61.254.18.27:56337
t=2021-03-21T04:46:40+0900 lvl=info msg="join connections" obj=join id=fb7b74bfd4ae l=[::1]:3000 r=61.254.18.27:56375
t=2021-03-21T04:46:51+0900 lvl=info msg="join connections" obj=join id=4c1684dd24f6 l=[::1]:3000 r=61.254.18.27:56375
t=2021-03-21T04:48:20+0900 lvl=info msg="join connections" obj=join id=ab74ad985f71 l=[::1]:3000 r=61.254.18.27:56375
t=2021-03-21T04:48:21+0900 lvl=info msg="join connections" obj=join id=7b71d467fbe5 l=[::1]:3000 r=61.254.18.27:56755
t=2021-03-21T04:48:22+0900 lvl=info msg="join connections" obj=join id=4b8831291d91 l=[::1]:3000 r=61.254.18.27:56761
t=2021-03-21T04:48:48+0900 lvl=info msg="join connections" obj=join id=ae86c1aec760 l=[::1]:3000 r=61.254.18.27:56761
t=2021-03-21T04:48:50+0900 lvl=info msg="join connections" obj=join id=60a5a302111f l=[::1]:3000 r=61.254.18.27:56755
